Département;Circonscription;Députés;Email;Numéro de circonscription;Prénom;Nom;identifiant;Commission;Sign PPL Peytavie;URL3;Région;Profession;Groupe politique (complet);Groupe politique (abrégé);;;
Savoie;4-Jean-François Coulomme;Jean-François Coulomme;jean-francois.coulomme@assemblee-nationale.fr;4;Jean-François;Coulomme;795136;Lois constitutionnelles, de la législation et de l'administration générale de la République;795136;https://www.assemblee-nationale.fr/dyn/deputes/PA795136;Auvergne-Rhône-Alpes;Ingénieur commercial;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Loire;1-Pierrick Courbon;Pierrick Courbon;pierrick.courbon@assemblee-nationale.fr;1;Pierrick;Courbon;841295;Affaires culturelles et de l'éducation;841295;https://www.assemblee-nationale.fr/dyn/deputes/PA841295;Auvergne-Rhône-Alpes;(37) - Cadre administratif et commercial d'entreprise;Socialistes et apparentés;SOC;;;
Doubs;1-Laurent Croizier;Laurent Croizier;laurent.croizier@assemblee-nationale.fr;1;Laurent;Croizier;793716;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793716;Bourgogne-Franche-Comté;Professeur des écoles, instituteur et assimilé;Les Démocrates;Dem;;;
Essonne;2-Nathalie Da Conceicao Carvalho;Nathalie Da Conceicao Carvalho;nathalie.daconceicaocarvalho@assemblee-nationale.fr;2;Nathalie;Da Conceicao Carvalho;795644;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795644;Ile-de-France;Profession libérale;Rassemblement National;RN;;;
Jura;2-Marie-Christine Dalloz;Marie-Christine Dalloz;Marie-Christine.Dalloz@assemblee-nationale.fr, marie-christine.dalloz@assemblee-nationale.fr;2;Marie-Christine;Dalloz;332523;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA332523;Bourgogne-Franche-Comté;(86) - Personne diverse sans activité professionnelle de 60 ans et plus;Droite Républicaine;DR;;;
Nord;10-Gérald Darmanin;Gérald Darmanin;gerald.darmanin@assemblee-nationale.fr;10;Gérald;Darmanin;607846;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA607846;Hauts-de-France;Cadre supérieur du secteur privé;Ensemble pour la République;EPR;;;
Landes;1-Geneviève Darrieussecq;Geneviève Darrieussecq;genevieve.darrieussecq@assemblee-nationale.fr;1;Geneviève;Darrieussecq;719914;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719914;Nouvelle-Aquitaine;Médecin;Les Démocrates;Dem;;;
Ain;2-Romain Daubié;Romain Daubié;romain.daubie@assemblee-nationale.fr;2;Romain;Daubié;793122;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793122;Auvergne-Rhône-Alpes;Avocat;Les Démocrates;Dem;;;
Bouches-du-Rhône;5-Hendrik Davi;Hendrik Davi;hendrik.davi@assemblee-nationale.fr;5;Hendrik;Davi;793452;Affaires sociales;793452;https://www.assemblee-nationale.fr/dyn/deputes/PA793452;Provence-Alpes-Côte d'Azur;Professeur, profession scientifique;Écologiste et Social;EcoS;;;
Gironde;4-Alain David;Alain David;Alain.David@assemblee-nationale.fr, alain.david@assemblee-nationale.fr;4;Alain;David;1008;Affaires étrangères;1008;https://www.assemblee-nationale.fr/dyn/deputes/PA1008;Nouvelle-Aquitaine;Ingénieur;Socialistes et apparentés;SOC;;;
Marne;5-Charles de Courson;Charles de Courson;Charles.deCourson@assemblee-nationale.fr, charles.decourson@assemblee-nationale.fr;5;Charles;de Courson;942;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA942;Grand Est;Conseiller référendaire honoraire à la Cour des comptes;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Pas-de-Calais;7-Marc de Fleurian;Marc de Fleurian;marc.defleurian@assemblee-nationale.fr;7;Marc;de Fleurian;841613;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841613;Hauts-de-France;(33) - Cadre de la fonction publique;Rassemblement National;RN;;;
Vaucluse;3-Hervé de Lépinau;Hervé de Lépinau;herve.delepinau@assemblee-nationale.fr;3;Hervé;de Lépinau;642988;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA642988;Provence-Alpes-Côte d'Azur;Avocat;Rassemblement National;RN;;;
Loiret;3-Constance de Pélichy;Constance de Pélichy;constance.depelichy@assemblee-nationale.fr;3;Constance;de Pélichy;841359;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841359;Centre-Val de Loire;(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Nord;3-Sandra Delannoy;Sandra Delannoy;sandra.delannoy@assemblee-nationale.fr;3;Sandra;Delannoy;840119;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840119;Hauts-de-France;(21) - Artisan;Rassemblement National;RN;;;
Calvados;2-Arthur Delaporte;Arthur Delaporte;arthur.delaporte@assemblee-nationale.fr;2;Arthur;Delaporte;793394;Affaires sociales;793394;https://www.assemblee-nationale.fr/dyn/deputes/PA793394;Normandie;Professeur, profession scientifique;Socialistes et apparentés;SOC;;;
Haute-Vienne;2-Stéphane Delautrette;Stéphane Delautrette;stephane.delautrette@assemblee-nationale.fr;2;Stéphane;Delautrette;795430;Développement durable et de l'aménagement du territoire;795430;https://www.assemblee-nationale.fr/dyn/deputes/PA795430;Nouvelle-Aquitaine;Ingénieur dans le domaine de l'environnement;Socialistes et apparentés;SOC;;;
Bouches-du-Rhône;7-Sébastien Delogu;Sébastien Delogu;sebastien.delogu@assemblee-nationale.fr;7;Sébastien;Delogu;793464;Finances, de l'économie générale et du contrôle budgétaire;793464;https://www.assemblee-nationale.fr/dyn/deputes/PA793464;Provence-Alpes-Côte d'Azur;Sans profession;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Sarthe;1-Julie Delpech;Julie Delpech;julie.delpech@assemblee-nationale.fr;1;Julie;Delpech;794982;Affaires culturelles et de l'éducation;794982;https://www.assemblee-nationale.fr/dyn/deputes/PA794982;Pays de la Loire;Chargée de communication;Ensemble pour la République;EPR;;;
Cantal;1-Vincent Descoeur;Vincent Descoeur;vincent.descoeur@assemblee-nationale.fr, Vincent.Descoeur@assemblee-nationale.fr;1;Vincent;Descoeur;330909;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA330909;Auvergne-Rhône-Alpes;Professeur agrégé de biologie;Droite Républicaine;DR;;;
Aisne;5-Jocelyn Dessigny;Jocelyn Dessigny;jocelyn.dessigny@assemblee-nationale.fr;5;Jocelyn;Dessigny;793166;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793166;Hauts-de-France;Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Moselle;4-Fabien Di Filippo;Fabien Di Filippo;Fabien.DiFilippo@assemblee-nationale.fr, fabien.difilippo@assemblee-nationale.fr;4;Fabien;Di Filippo;720386;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720386;Grand Est;Ancien cadre du secteur privé;Droite Républicaine;DR;;;
Gironde;11-Edwige Diaz;Edwige Diaz;edwige.diaz@assemblee-nationale.fr;11;Edwige;Diaz;793928;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793928;Nouvelle-Aquitaine;Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Alpes-Maritimes;5-Christelle D'Intorni;Christelle D'Intorni;christelle.dintorni@assemblee-nationale.fr;5;Christelle;D'Intorni;793322;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793322;Provence-Alpes-Côte d'Azur;Avocate;UDR;UDR;;;
Yvelines;9-Dieynaba Diop;Dieynaba Diop;dieynaba.diop@assemblee-nationale.fr;9;Dieynaba;Diop;841919;Affaires étrangères;841919;https://www.assemblee-nationale.fr/dyn/deputes/PA841919;Ile-de-France;(34) - Professeur, profession scientifique;Socialistes et apparentés;SOC;;;
Seine-Saint-Denis;5-Aly Diouara;Aly Diouara;aly.diouara@assemblee-nationale.fr;5;Aly;Diouara;842155;Affaires culturelles et de l'éducation;842155;https://www.assemblee-nationale.fr/dyn/deputes/PA842155;Ile-de-France;(33) - Cadre de la fonction publique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Saône-et-Loire;1-Benjamin Dirx;Benjamin Dirx;benjamin.dirx@assemblee-nationale.fr, Benjamin.Dirx@assemblee-nationale.fr;1;Benjamin;Dirx;722382;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA722382;Bourgogne-Franche-Comté;Industriel-Chef d'entreprise;Ensemble pour la République;EPR;;;
Aisne;2-Julien Dive;Julien Dive;Julien.Dive@assemblee-nationale.fr, julien.dive@assemblee-nationale.fr;2;Julien;Dive;712015;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA712015;Hauts-de-France;Chef de projet dans l'industrie;Droite Républicaine;DR;;;
Pyrénées-Orientales;3-Sandrine Dogor-Such;Sandrine Dogor-Such;sandrine.dogor-such@assemblee-nationale.fr;3;Sandrine;Dogor-Such;794762;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794762;Occitanie;Préparatrice en pharmacie;Rassemblement National;RN;;;
Hérault;3-Fanny Dombre Coste;Fanny Dombre Coste;fanny.dombrecoste@assemblee-nationale.fr;3;Fanny;Dombre Coste;606573;Affaires sociales;606573;https://www.assemblee-nationale.fr/dyn/deputes/PA606573;Occitanie;Artisan Photographe;Socialistes et apparentés;SOC;;;
Aisne;1-Nicolas Dragon;Nicolas Dragon;nicolas.dragon@assemblee-nationale.fr;1;Nicolas;Dragon;793146;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793146;Hauts-de-France;Profession libérale;Rassemblement National;RN;;;
Maine-et-Loire;6-Nicole Dubré-Chirat;Nicole Dubré-Chirat;nicole.dubre-chirat@assemblee-nationale.fr, Nicole.Dubre-Chirat@assemblee-nationale.fr;6;Nicole;Dubré-Chirat;720154;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720154;Pays de la Loire;Retraitée de la fonction publique hospitalière et chargée de formation;Ensemble pour la République;EPR;;;
Haute-Savoie;4-Virginie Duby-Muller;Virginie Duby-Muller;Virginie.Duby-Muller@assemblee-nationale.fr, virginie.duby-muller@assemblee-nationale.fr;4;Virginie;Duby-Muller;608826;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA608826;Auvergne-Rhône-Alpes;Cadre du secteur privé;Droite Républicaine;DR;;;
Pyrénées-Atlantiques;6-Peio Dufau;Peio Dufau;peio.dufau@assemblee-nationale.fr;6;Peio;Dufau;841633;Développement durable et de l'aménagement du territoire;841633;https://www.assemblee-nationale.fr/dyn/deputes/PA841633;Nouvelle-Aquitaine;(48) - Contremaître, agent de maîtrise;Socialistes et apparentés;SOC;;;
Nord;18-Alexandre Dufosset;Alexandre Dufosset;alexandre.dufosset@assemblee-nationale.fr;18;Alexandre;Dufosset;840135;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840135;Hauts-de-France;(54) - Employé administratif d'entreprise;Rassemblement National;RN;;;
Seine-Maritime;4-Alma Dufour;Alma Dufour;alma.dufour@assemblee-nationale.fr;4;Alma;Dufour;795200;Défense nationale et des forces armées;795200;https://www.assemblee-nationale.fr/dyn/deputes/PA795200;Normandie;Responsable associative;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Loiret;2-Emmanuel Duplessy;Emmanuel Duplessy;emmanuel.duplessy@assemblee-nationale.fr;2;Emmanuel;Duplessy;841351;Lois constitutionnelles, de la législation et de l'administration générale de la République;841351;https://www.assemblee-nationale.fr/dyn/deputes/PA841351;Centre-Val de Loire;(33) - Cadre de la fonction publique;Écologiste et Social;EcoS;;;
Maine-et-Loire;2-Stella Dupont;Stella Dupont;stella.dupont@assemblee-nationale.fr, Stella.Dupont@assemblee-nationale.fr;2;Stella;Dupont;643175;Finances, de l'économie générale et du contrôle budgétaire;643175;https://www.assemblee-nationale.fr/dyn/deputes/PA643175;Pays de la Loire;Comptable;Ensemble pour la République;EPR;;;
Vosges;2-Gaëtan Dussausaye;Gaëtan Dussausaye;gaetan.dussausaye@assemblee-nationale.fr;2;Gaëtan;Dussausaye;842073;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842073;Grand Est;(55) - Employé de commerce;Rassemblement National;RN;;;
Saône-et-Loire;3-Aurélien Dutremble;Aurélien Dutremble;aurelien.dutremble@assemblee-nationale.fr;3;Aurélien;Dutremble;841761;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841761;Bourgogne-Franche-Comté;(47) - Technicien hospitalier;Rassemblement National;RN;;;
Pyrénées-Atlantiques;4-Inaki Echaniz;Inaki Echaniz;inaki.echaniz@assemblee-nationale.fr;4;Inaki;Echaniz;794854;Affaires économiques;794854;https://www.assemblee-nationale.fr/dyn/deputes/PA794854;Nouvelle-Aquitaine;Cadre de la fonction publique;Socialistes et apparentés;SOC;;;
Pas-de-Calais;6-Christine Engrand;Christine Engrand;christine.engrand@assemblee-nationale.fr;6;Christine;Engrand;794718;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794718;Hauts-de-France;Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Tarn;2-Karen Erodi;Karen Erodi;karen.erodi@assemblee-nationale.fr;2;Karen;Erodi;795844;Affaires sociales;795844;https://www.assemblee-nationale.fr/dyn/deputes/PA795844;Occitanie;Profession libérale;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Loire-Atlantique;10-Sophie Errante;Sophie Errante;sophie.errante@assemblee-nationale.fr, Sophie.Errante@assemblee-nationale.fr;10;Sophie;Errante;607193;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA607193;Pays de la Loire;Industriel-Chef d'entreprise;Non inscrit;NI;;;
Val-d'Oise;7-Romain Eskenazi;Romain Eskenazi;romain.eskenazi@assemblee-nationale.fr;7;Romain;Eskenazi;842195;Développement durable et de l'aménagement du territoire;842195;https://www.assemblee-nationale.fr/dyn/deputes/PA842195;Ile-de-France;(33) - Cadre de la fonction publique;Socialistes et apparentés;SOC;;;
Pas-de-Calais;8-Auguste Evrard;Auguste Evrard;auguste.evrard@assemblee-nationale.fr;8;Auguste;Evrard;841621;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841621;Hauts-de-France;Collaborateur de cabinet en mairie;Rassemblement National;RN;;;
Pas-de-Calais;4-Philippe Fait;Philippe Fait;philippe.fait@assemblee-nationale.fr;4;Philippe;Fait;794658;Affaires culturelles et de l'éducation;794658;https://www.assemblee-nationale.fr/dyn/deputes/PA794658;Hauts-de-France;Professeur des écoles, instituteur et assimilé;Ensemble pour la République;EPR;;;
Aude;2-Frédéric Falcon;Frédéric Falcon;frederic.falcon@assemblee-nationale.fr;2;Frédéric;Falcon;793246;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793246;Occitanie;Commerçant et assimilé;Rassemblement National;RN;;;
Charente-Maritime;1-Olivier Falorni;Olivier Falorni;Olivier.Falorni@assemblee-nationale.fr, olivier.falorni@assemblee-nationale.fr;1;Olivier;Falorni;605694;Affaires sociales;605694;https://www.assemblee-nationale.fr/dyn/deputes/PA605694;Nouvelle-Aquitaine;Professeur du secondaire;Les Démocrates;Dem;;;
Hauts-de-Seine;1-Elsa Faucillon;Elsa Faucillon;Elsa.Faucillon@assemblee-nationale.fr, elsa.faucillon@assemblee-nationale.fr;1;Elsa;Faucillon;721896;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721896;Ile-de-France;Employée du secteur privé;Gauche Démocrate et Républicaine;GDR;;;
Seine-et-Marne;11-Olivier Faure;Olivier Faure;Olivier.Faure@assemblee-nationale.fr, olivier.faure@assemblee-nationale.fr;11;Olivier;Faure;609332;Affaires étrangères;609332;https://www.assemblee-nationale.fr/dyn/deputes/PA609332;Ile-de-France;Cadre supérieur (secteur privé);Socialistes et apparentés;SOC;;;
Mayenne;3-Yannick Favennec-Bécot;Yannick Favennec-Bécot;Yannick.Favennec@assemblee-nationale.fr, yannick.favennec@assemblee-nationale.fr;3;Yannick;Favennec-Bécot;267042;Défense nationale et des forces armées;267042;https://www.assemblee-nationale.fr/dyn/deputes/PA267042;Pays de la Loire;Directeur de cabinet;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Bouches-du-Rhône;6-Olivier Fayssat;Olivier Fayssat;olivier.fayssat@assemblee-nationale.fr;6;Olivier;Fayssat;840773;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840773;Provence-Alpes-Côte d'Azur;Dirigeant d'entreprise;UDR;UDR;;;
Hautes-Pyrénées;2-Denis Fégné;Denis Fégné;denis.fegne@assemblee-nationale.fr;2;Denis;Fégné;841665;Développement durable et de l'aménagement du territoire;841665;https://www.assemblee-nationale.fr/dyn/deputes/PA841665;Occitanie;(74) - Ancien cadre;Socialistes et apparentés;SOC;;;
Gironde;12-Mathilde Feld;Mathilde Feld;mathilde.feld@assemblee-nationale.fr;12;Mathilde;Feld;841251;Finances, de l'économie générale et du contrôle budgétaire;841251;https://www.assemblee-nationale.fr/dyn/deputes/PA841251;Nouvelle-Aquitaine;(33) - Cadre de la fonction publique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Bas-Rhin;2-Emmanuel Fernandes;Emmanuel Fernandes;emmanuel.fernandes@assemblee-nationale.fr;2;Emmanuel;Fernandes;794786;Défense nationale et des forces armées;794786;https://www.assemblee-nationale.fr/dyn/deputes/PA794786;Grand Est;Profession intermédiaire administrative et commerciale des entreprises;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Français établis hors de France;6-Marc Ferracci;Marc Ferracci;marc.ferracci@assemblee-nationale.fr;6;Marc;Ferracci;795884;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795884;Français établis hors de France;Professeur, profession scientifique;Ensemble pour la République;EPR;;;
Savoie;1-Marina Ferrari;Marina Ferrari;marina.ferrari@assemblee-nationale.fr;1;Marina;Ferrari;795120;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795120;Auvergne-Rhône-Alpes;Cadre administratif et commercial d'entreprise;Les Démocrates;Dem;;;
Hautes-Pyrénées;1-Sylvie Ferrer;Sylvie Ferrer;sylvie.ferrer@assemblee-nationale.fr;1;Sylvie;Ferrer;794870;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794870;Occitanie;(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Loir-et-Cher;1-Marc Fesneau;Marc Fesneau;marc.fesneau@assemblee-nationale.fr;1;Marc;Fesneau;719938;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719938;Centre-Val de Loire;Ministre;Les Démocrates;Dem;;;
Deux-Sèvres;3-Jean-Marie Fiévet;Jean-Marie Fiévet;jean-marie.fievet@assemblee-nationale.fr, Jean-Marie.Fievet@assemblee-nationale.fr;3;Jean-Marie;Fiévet;722134;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA722134;Nouvelle-Aquitaine;Fonctionnaire de catégorie B;Ensemble pour la République;EPR;;;
Seine-Maritime;7-Agnès Firmin Le Bodo;Agnès Firmin Le Bodo;agnes.firminlebodo@assemblee-nationale.fr, Agnes.FirminLeBodo@assemblee-nationale.fr;7;Agnès;Firmin Le Bodo;267780;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA267780;Normandie;Pharmacien;Horizons & Indépendants;HOR;;;
Nord;20-Guillaume Florquin;Guillaume Florquin;guillaume.florquin@assemblee-nationale.fr;20;Guillaume;Florquin;840143;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840143;Hauts-de-France;(33) - Cadre de la fonction publique;Rassemblement National;RN;;;
Indre;2-Nicolas Forissier;Nicolas Forissier;nicolas.forissier@assemblee-nationale.fr, Nicolas.Forissier@assemblee-nationale.fr;2;Nicolas;Forissier;1327;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA1327;Centre-Val de Loire;Chef d'entreprise;Droite Républicaine;DR;;;
Bouches-du-Rhône;13-Emmanuel Fouquart;Emmanuel Fouquart;emmanuel.fouquart@assemblee-nationale.fr;13;Emmanuel;Fouquart;840801;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840801;Provence-Alpes-Côte d'Azur;Retraité militaire;Rassemblement National;RN;;;
Indre-et-Loire;1-Charles Fournier;Charles Fournier;charles.fournier@assemblee-nationale.fr;1;Charles;Fournier;793980;Affaires économiques;793980;https://www.assemblee-nationale.fr/dyn/deputes/PA793980;Centre-Val de Loire;Consultant, formateur;Écologiste et Social;EcoS;;;
Pas-de-Calais;10-Thierry Frappé;Thierry Frappé;thierry.frappe@assemblee-nationale.fr;10;Thierry;Frappé;794678;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794678;Hauts-de-France;Profession libérale;Rassemblement National;RN;;;
Polynésie Française;1-Moerani Frébault;Moerani Frébault;moerani.frebault@assemblee-nationale.fr;1;Moerani;Frébault;840235;Lois constitutionnelles, de la législation et de l'administration générale de la République;840235;https://www.assemblee-nationale.fr/dyn/deputes/PA840235;Polynésie française;(33) - Cadre de la fonction publique;Ensemble pour la République;EPR;;;
Ariège;1-Martine Froger;Martine Froger;martine.froger@assemblee-nationale.fr;1;Martine;Froger;822617;Lois constitutionnelles, de la législation et de l'administration générale de la République;822617;https://www.assemblee-nationale.fr/dyn/deputes/PA822617;Occitanie;Chef d'entreprise;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Haut-Rhin;6-Bruno Fuchs;Bruno Fuchs;bruno.fuchs@assemblee-nationale.fr, Bruno.Fuchs@assemblee-nationale.fr;6;Bruno;Fuchs;722284;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA722284;Grand Est;Chef d'entreprise;Les Démocrates;Dem;;;
Rhône;11-Jean-Luc Fugit;Jean-Luc Fugit;jean-luc.fugit@assemblee-nationale.fr, Jean-Luc.Fugit@assemblee-nationale.fr;11;Jean-Luc;Fugit;722366;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA722366;Auvergne-Rhône-Alpes;Professeur de faculté;Ensemble pour la République;EPR;;;
Hérault;6-Julien Gabarron;Julien Gabarron;julien.gabarron@assemblee-nationale.fr;6;Julien;Gabarron;841139;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841139;Occitanie;Cadre Commercial;Rassemblement National;RN;;;
Réunion;7-Perceval Gaillard;Perceval Gaillard;perceval.gaillard@assemblee-nationale.fr;7;Perceval;Gaillard;796070;Affaires étrangères;796070;https://www.assemblee-nationale.fr/dyn/deputes/PA796070;Réunion;Profession intermédiaire de la santé et du travail social;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Hérault;5-Stéphanie Galzy;Stéphanie Galzy;stephanie.galzy@assemblee-nationale.fr;5;Stéphanie;Galzy;793892;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793892;Occitanie;Employé administratif d'entreprise;Rassemblement National;RN;;;
Rhône;3-Marie-Charlotte Garin;Marie-Charlotte Garin;marie-charlotte.garin@assemblee-nationale.fr;3;Marie-Charlotte;Garin;795010;Affaires sociales;795010;https://www.assemblee-nationale.fr/dyn/deputes/PA795010;Auvergne-Rhône-Alpes;Collaboratrice politique en collectivité locale;Écologiste et Social;EcoS;;;
Mayenne;1-Guillaume Garot;Guillaume Garot;Guillaume.Garot@assemblee-nationale.fr, guillaume.garot@assemblee-nationale.fr;1;Guillaume;Garot;333285;Défense nationale et des forces armées;333285;https://www.assemblee-nationale.fr/dyn/deputes/PA333285;Pays de la Loire;Cadre administratif;Socialistes et apparentés;SOC;;;
Rhône;10-Thomas Gassilloud;Thomas Gassilloud;thomas.gassilloud@assemblee-nationale.fr, Thomas.Gassilloud@assemblee-nationale.fr;10;Thomas;Gassilloud;722358;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA722358;Auvergne-Rhône-Alpes;Industriel - Chef d'entreprise;Ensemble pour la République;EPR;;;
Français établis hors de France;11-Anne Genetet;Anne Genetet;anne.genetet@assemblee-nationale.fr, Anne.Genetet@assemblee-nationale.fr;11;Anne;Genetet;721024;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721024;Français établis hors de France;Médecin;Ensemble pour la République;EPR;;;
Doubs;5-Annie Genevard;Annie Genevard;Annie.Genevard@assemblee-nationale.fr, annie.genevard@assemblee-nationale.fr;5;Annie;Genevard;605991;Affaires culturelles et de l'éducation;605991;https://www.assemblee-nationale.fr/dyn/deputes/PA605991;Bourgogne-Franche-Comté;Professeur du secondaire;Droite Républicaine;DR;;;
Nord;7-Félicie Gérard;Félicie Gérard;felicie.gerard@assemblee-nationale.fr;7;Félicie;Gérard;794470;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794470;Hauts-de-France;Chef de projet;Horizons & Indépendants;HOR;;;
Maine-et-Loire;1-François Gernigon;François Gernigon;francois.gernigon@assemblee-nationale.fr;1;François;Gernigon;794234;Affaires sociales;794234;https://www.assemblee-nationale.fr/dyn/deputes/PA794234;Pays de la Loire;Ancien cadre;Horizons & Indépendants;HOR;;;
Rhône;8-Jonathan Gery;Jonathan Gery;jonathan.gery@assemblee-nationale.fr;8;Jonathan;Gery;841737;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841737;Auvergne-Rhône-Alpes;(53) - Policier et militaire;Rassemblement National;RN;;;
Var;6-Frank Giletti;Frank Giletti;frank.giletti@assemblee-nationale.fr;6;Frank;Giletti;796034;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA796034;Provence-Alpes-Côte d'Azur;Fonctionnaire;Rassemblement National;RN;;;
Gard;1-Yoann Gillet;Yoann Gillet;yoann.gillet@assemblee-nationale.fr;1;Yoann;Gillet;793832;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793832;Occitanie;Cadre de la fonction publique;Rassemblement National;RN;;;
Morbihan;5-Damien Girard;Damien Girard;damien.girard@assemblee-nationale.fr;5;Damien;Girard;841419;Défense nationale et des forces armées;841419;https://www.assemblee-nationale.fr/dyn/deputes/PA841419;Bretagne;(38) - Ingénieur et cadre technique d'entreprise;Écologiste et Social;EcoS;;;
